ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
189;Clarisia biflora;Moraceae;Clarisia;Ruiz & Pav.;http://www.tropicos.org/Name/21300124;tree;1;NA;NA;1;NA;NA;1;1;1;NA;NA;519;161;149512973;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;NA;NA
190;Clarisia ilicifolia;Moraceae;Clarisia;(Spreng.) Lanj. & Rossberg;http://www.tropicos.org/Name/21301591;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;282;71;58033300;8;NA;NA;0;NA;NA;Least Concern;2020;VU;EN;VU;VU;VU;EN;EN;EN;SA;NA;NA
191;Clathrotropis brachypetala;Fabaceae;Clathrotropis;(Tul.) Kleinhoonte;http://www.tropicos.org/Name/13008147;tree;NA;NA;1;NA;NA;NA;1;NA;NA;1;1;340;56;86551024;8;NA;NA;0;NA;1;Least Concern;2019;NA;VU;VU;EN;VU;EN;EN;EN;GS;NA;NA
192;Clathrotropis nitida;Fabaceae;Clathrotropis;(Benth.) Harms;http://www.tropicos.org/Name/13008152;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;178;22;69262305;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;VU;EN;VU;VU;EN;EN;CA;NA;NA
193;Clusia columnaris;Clusiaceae;Clusia;Engl.;http://www.tropicos.org/Name/7800119;shrub/ tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
194;Clusia fockeana;Clusiaceae;Clusia;Miq.;http://www.tropicos.org/Name/7800144;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2021;VU;EN;EN;EN;EN;CR;CR;CR;GS;NA;NA
195;Clusia nemorosa;Clusiaceae;Clusia;G. Mey.;http://www.tropicos.org/Name/50086774;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;EN;EN;EN;EN;EN;EN;GS;NA;NA
196;Clusia panapanari;Clusiaceae;Clusia;(Aubl.) Choisy;http://www.tropicos.org/Name/7801338;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;EN;EN;EN;EN;GS;NA;NA
197;Coccoloba latifolia;Polygonaceae;Coccoloba;Lam.;http://www.tropicos.org/Name/50097344;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;59;24;18028205;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
198;Coccoloba mollis;Polygonaceae;Coccoloba;Casar.;http://www.tropicos.org/Name/26001032;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;215;91;104297283;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;VU;VU;VU;EN;EN;EN;GS;NA;NA
199;Cochlospermum orinocense;Bixaceae;Cochlospermum;(Kunth) Steud.;http://www.tropicos.org/Name/8000011;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;119;28;54956933;8;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;EN;GS;NA;NA
200;Cojoba arborea;Fabaceae;Cojoba;(L.) Britton & Rose;http://www.tropicos.org/Name/13008264;tree;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;11;4;2839336;6;NA;NA;0;NA;NA;Least Concern;2019;VU;VU;CR;CR;CR;CR;CR;CR;WAN;NA;NA
201;Compsoneura sprucei;Myristicaceae;Compsoneura;(A. DC.) Warb.;http://www.tropicos.org/Name/21800005;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;123;57;44795848;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
202;Conceveiba guianensis;Euphorbiaceae;Conceveiba;Aubl.;http://www.tropicos.org/Name/12802452;shrub/ tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1596;512;553742478;9;1;4;0.17;NA;NA;Least Concern;2021;VU;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
203;Copaifera duckei;Fabaceae;Copaifera;Dwyer;http://www.tropicos.org/Name/13008373;tree;1;1;NA;NA;NA;NA;NA;NA;1;1;NA;22;14;10669701;7;NA;NA;0;NA;1;NA;NA;EN;CR;CR;CR;CR;CR;CR;CR;SA;NA;NA
204;Copaifera epunctata;Fabaceae;Copaifera;Amshoff;http://www.tropicos.org/Name/13008375;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;6;5;1589890;6;NA;NA;0;NA;NA;Vulnerable;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;Copaifera guyanensis;Fabaceae;Copaifera;Desf.;http://www.tropicos.org/Name/13008380;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;26;9;13072748;7;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;Copaifera multijuga;Fabaceae;Copaifera;Hayne;http://www.tropicos.org/Name/13008405;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;317;134;230073897;8;NA;NA;0;NA;NA;Least Concern;2019;VU;EN;VU;EN;EN;CR;EN;CR;CA;NA;NA
207;Copaifera officinalis;Fabaceae;Copaifera;(Jacq.) L.;http://www.tropicos.org/Name/13008408;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;19;5;12832965;7;NA;NA;0;NA;1;NA;NA;NA;VU;VU;VU;VU;VU;VU;EN;GS;NA;NA
208;Copaifera paupera;Fabaceae;Copaifera;(Herzog) Dwyer;http://www.tropicos.org/Name/13008410;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;17;7;13719615;7;NA;NA;0;NA;NA;Least Concern;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;Copaifera reticulata;Fabaceae;Copaifera;Ducke;http://www.tropicos.org/Name/13008413;tree;1;1;NA;NA;NA;NA;1;1;1;1;NA;148;80;45185284;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;VU;EN;EN;EN;EN;CA;NA;NA
